iter	Passed	Remaining
0	149	149496
1	150	75045
2	151	50211
3	151	37778
4	152	30341
5	153	25380
6	153	21830
7	154	19169
8	155	17095
9	155	15428
10	156	14071
11	157	12932
12	157	11973
13	158	11166
14	159	10458
15	159	9829
16	160	9278
17	161	8788
18	161	8348
19	162	7953
20	163	7601
21	164	7292
22	164	6996
23	165	6724
24	165	6470
25	166	6236
26	167	6019
27	167	5820
28	168	5635
29	169	5465
30	169	5303
31	170	5150
32	170	5006
33	171	4870
34	171	4741
35	172	4623
36	173	4511
37	174	4407
38	174	4307
39	175	4209
40	175	4116
41	176	4026
42	177	3940
43	177	3859
44	178	3782
45	178	3711
46	179	3641
47	180	3576
48	180	3511
49	181	3448
50	182	3387
51	182	3328
52	183	3272
53	183	3217
54	184	3165
55	184	3117
56	185	3071
57	186	3023
58	186	2978
59	187	2934
60	187	2892
61	188	2851
62	189	2813
63	189	2776
64	190	2739
65	191	2704
66	191	2669
67	192	2632
68	192	2597
69	193	2565
70	193	2533
71	194	2501
72	194	2471
73	195	2442
74	195	2413
75	196	2385
76	196	2358
77	197	2332
78	197	2307
79	198	2282
80	199	2258
81	199	2234
82	200	2211
83	200	2188
84	201	2164
85	201	2142
86	201	2119
87	202	2098
88	203	2080
89	204	2063
90	204	2044
91	205	2025
92	205	2007
93	206	1988
94	206	1970
95	207	1953
96	207	1935
97	208	1918
98	208	1901
99	209	1886
100	210	1871
101	210	1854
102	211	1839
103	211	1824
104	212	1810
105	212	1795
106	213	1782
107	214	1768
108	214	1755
109	215	1741
110	215	1728
111	216	1716
112	216	1703
113	217	1690
114	218	1678
115	218	1665
116	219	1653
117	219	1642
118	220	1629
119	220	1618
120	221	1607
121	221	1596
122	222	1584
123	222	1573
124	223	1563
125	223	1553
126	224	1543
127	224	1531
128	225	1521
129	225	1512
130	226	1502
131	227	1493
132	227	1484
133	228	1477
134	229	1468
135	229	1459
136	230	1450
137	230	1442
138	231	1433
139	231	1424
140	232	1415
141	233	1407
142	233	1399
143	234	1392
144	234	1384
145	235	1376
146	235	1368
147	236	1361
148	236	1353
149	237	1345
150	238	1338
151	238	1330
152	239	1323
153	239	1317
154	240	1311
155	241	1304
156	241	1296
157	241	1289
158	242	1282
159	243	1276
160	243	1269
161	244	1263
162	244	1257
163	245	1251
164	246	1245
165	246	1239
166	247	1233
167	247	1227
168	248	1221
169	248	1215
170	249	1209
171	249	1203
172	250	1197
173	251	1191
174	251	1186
175	252	1181
176	252	1176
177	253	1170
178	253	1164
179	254	1159
180	254	1152
181	255	1146
182	255	1141
183	256	1135
184	256	1130
185	257	1125
186	258	1121
187	258	1117
188	259	1112
189	259	1107
190	260	1102
191	260	1097
192	261	1092
193	261	1087
194	262	1083
195	262	1078
196	263	1074
197	264	1069
198	264	1065
199	265	1061
200	265	1056
201	266	1051
202	266	1047
203	267	1042
204	267	1038
205	268	1033
206	268	1029
207	269	1025
208	269	1020
209	270	1016
210	270	1013
211	271	1009
212	272	1008
213	273	1004
214	274	1000
215	274	996
216	275	993
217	275	989
218	276	985
219	276	981
220	277	978
221	278	974
222	278	970
223	279	966
224	279	963
225	280	959
226	280	955
227	281	951
228	281	948
229	282	944
230	282	941
231	283	938
232	284	935
233	284	931
234	285	928
235	285	925
236	286	921
237	286	918
238	287	915
239	287	911
240	288	908
241	289	905
242	289	902
243	290	899
244	290	896
245	291	893
246	291	890
247	292	886
248	292	883
249	293	880
250	294	877
251	294	874
252	295	871
253	295	868
254	296	865
255	296	862
256	297	859
257	297	856
258	298	854
259	299	851
260	299	848
261	300	845
262	300	843
263	301	840
264	302	838
265	302	835
266	303	832
267	303	830
268	304	827
269	305	824
270	305	821
271	306	819
272	306	816
273	307	814
274	307	811
275	308	809
276	309	806
277	309	804
278	310	801
279	310	799
280	311	796
281	311	793
282	312	792
283	313	790
284	314	787
285	314	785
286	315	782
287	315	780
288	316	778
289	316	775
290	317	773
291	318	771
292	318	768
293	319	766
294	319	764
295	320	761
296	320	759
297	321	757
298	322	755
299	322	752
300	323	750
301	323	748
302	324	745
303	324	743
304	325	741
305	326	739
306	326	737
307	327	735
308	327	733
309	328	730
310	328	728
311	329	726
312	329	724
313	330	721
314	330	719
315	331	717
316	332	715
317	332	713
318	333	711
319	333	709
320	334	706
321	334	704
322	335	702
323	335	700
324	336	698
325	336	696
326	337	694
327	338	692
328	338	690
329	339	688
330	339	686
331	340	684
332	340	682
333	341	680
334	341	678
335	342	676
336	342	674
337	343	672
338	344	670
339	344	668
340	345	667
341	345	665
342	346	663
343	346	661
344	347	659
345	348	658
346	348	656
347	349	654
348	349	652
349	350	650
350	351	649
351	351	647
352	352	645
353	352	643
354	353	642
355	353	640
356	354	638
357	355	636
358	355	635
359	356	633
360	357	631
361	357	630
362	358	628
363	358	626
364	359	624
365	359	623
366	360	621
367	360	619
368	361	618
369	362	616
370	362	615
371	363	613
372	363	611
373	364	609
374	364	608
375	365	606
376	365	604
377	367	604
378	367	602
379	368	601
380	368	599
381	369	597
382	370	596
383	370	594
384	371	593
385	372	591
386	372	590
387	373	588
